관리번호,시군구명,동명,리명,지번,도로명,구코드,동코드,리코드,교차로명,경도,위도
9-065,해운대구,반송동,,275-7,,26350,26350101,,동부산대학(반송보건지소),129.1484411,35.22975766
13-132,연제구,연산동,,321-4,,26470,26470102,,성덕과일마트,129.0879629,35.18712431
5-067,부산진구,부전동,,394-32,부전로 121-9,26230,26230103,,부전시장(녹십자),129.0562025,35.16130193
5-173,부산진구,범전동,,372-42,,26230,26230105,,시민공원 주차장 출구,129.0605275,35.1657486
5-172,부산진구,범전동,,372-39,,26230,26230105,,범전동 사무소,129.0598811,35.16647062
5-171,부산진구,범전동,,372-42,,26230,26230105,,시민공원 주차장 입구,129.0586588,35.16597014
5-170,부산진구,범전동,,220-2,,26230,26230105,,시민공원 임시주차장,129.0557111,35.16466881
15-154,사상구,감전동,,174,학감대로260번길 23,26530,26530105,,북부산세무서 신청사 앞,128.9906727,35.15460348
15-151,사상구,삼락동,,574,,26530,26530101,,다대항배후도로 낙동로간 연결도로 ,128.975733,35.16567753
15-150,사상구,엄궁동,,651-91,,26530,26530108,,SK강변대로주유소,128.9615941,35.12262523
15-143,사상구,엄궁동,,689,,26530,26530108,,고구려참숯갈비,128.9677911,35.12449179
15-105,사상구,괘법동,,572-1,광장로 9,26530,26530104,,콘티코(터미널주유소직결),128.9796845,35.16277595
15-141,사상구,주례동,,07월 01일,가야대로405번길 7-22,26530,26530106,,신주례LG아파트,129.0144121,35.15326584
15-019,사상구,감전동,,507-13,,26530,26530105,,부산위생,128.9704212,35.14015731
15-136,사상구,학장동,,171-1,,26530,26530107,,구학초등학교,128.9935853,35.13734999
15-133,사상구,엄궁동,,06월 11일,,26530,26530108,,학진초교,128.9741991,35.13404881
15-131,사상구,괘법동,,448-7,,26530,26530104,,괘법동경부선철도굴다리,128.9885276,35.16400741
15-130,사상구,감전동,,174,새벽시장로 130,26530,26530105,,"""구"" 사상구청앞",128.9867503,35.15409182
7-115,남구,우암동,,263-2,,26290,26290110,,부산항 7부두,129.0784267,35.12100628
1-021,중구,동광동5가,,12월 20일,,26110,26110115,,중구청앞,129.0328771,35.10713192
1-036,중구,부평동2가,,Apr-47,,26110,26110124,,서구청,129.0251598,35.09827106
12-237,강서구,성북동,,1497,,26440,26440119,,신항만  '북컨' C지점(세방부지아래삼,128.8244366,35.08328141
12-236,강서구,성북동,,1499,신항로 96-72,26440,26440119,,신항만  '북컨' B지점(세방부지),128.8248115,35.08455035
12-233,강서구,성북동,,1518,신항남로 416,26440,26440119,,다목적부두 배후도로(C지점) 현대부산,128.8347177,35.07082147
12-170,강서구,지사동,,1245,,26440,26440114,,지사13지점,128.8390362,35.15070803
12-158,강서구,지사동,,1166-1,,26440,26440114,,지사과학산업단지 4지점,128.8395362,35.14871831
15-901,기장군,정관읍,용수리,1406,정관로 495,26710,26710256,2671025628,,129.1695043,35.32569187
15-902,기장군,정관읍,용수리,1387,,26710,26710256,2671025628,,129.1680247,35.32503845
16-083,기장군,정관읍,매학리,1404,,26710,26710256,2671025622,정관이진아파트 정문(104동),129.1738097,35.32235484
16-070,기장군,정관읍,매학리,724,,26710,26710256,2671025622,매직세차타운,129.1764208,35.31979626
